afkbandi,~
bandi,~
bandiafk,~
bandicam,~
bandicams sleep,~
bandiku,~
banditachi,~
banditech,~
CA,~
champion bandicam,~
CoolAsian,~
Crouching-Tiger,~
Judai-kun,~
Judai Yuki,~
King Bandicam,~
ladderingbandi,~
mrSmellyfeet100,&
shadowbandi,~
sonicbandi,~
TalkTakesTime,~
thepowerhouse,~
WingedYoshi,~
Zarel,~
Kalenz,&
KiingOfRandom,%
piiiikachuuu,+
Slayer95,~
TheWorldsGreatest,%
Troll Slayer,%
AFK Brunoo,%
CWegz,+
Cooleuropean,%
crispyhann,%
i dont play this,%
Philemona,@
PZ,%
RageQuazaPlays,+
Ragequazaplayz,+
sleeping Brunoo,%
StevoDuhHero,@
TimeTurner,@
Brunoo,%
Havinfun85,%
spbman1234,%
TTP PokePaul,%
Zact94,+
Mizu :D,+
realpresent,@
TheLoneWolf,%
TPP PokePaul,+
TTP ThePokePaul,+
namine,+
milotinob,@
